web-scraper-order,,Images,,intro,price
1677004905-454,,https://johnlewis.scene7.com/is/image/JohnLewis/006333053?wid=117&hei=156,,"Linen Abstract Print Tunic Dress, Navy",¡ê49.00
1677004905-455,,https://johnlewis.scene7.com/is/image/JohnLewis/006342282?wid=117&hei=156,,"Plain Puff Sleeve Empire Line Dress, Black",¡ê45.00
1677004905-456,,https://johnlewis.scene7.com/is/image/JohnLewis/006342284?wid=117&hei=156,,"Gingham Crinkle Long Sleeve Top, Blue/White",¡ê32.00
1677004905-457,,https://johnlewis.scene7.com/is/image/JohnLewis/006305135?wid=117&hei=156,,"Floral Print High Neck Blouse, White/Multi",¡ê39.00
1677004905-458,,https://johnlewis.scene7.com/is/image/JohnLewis/006424543?wid=117&hei=156,,"Naxos-H Geometric Print Blouse, White/Multi",¡ê35.99
1677004905-459,,https://johnlewis.scene7.com/is/image/JohnLewis/006305145?wid=117&hei=156,,Bamboo Print Blouse,¡ê35.00
1677004905-460,,https://johnlewis.scene7.com/is/image/JohnLewis/006305138?wid=117&hei=156,,"Floral Print Blouse, Yellow/Multi",¡ê69.00
1677004905-461,,https://johnlewis.scene7.com/is/image/JohnLewis/006378221?wid=117&hei=156,,Double Breasted Linen Blazer,¡ê79.00
1677004905-462,,https://johnlewis.scene7.com/is/image/JohnLewis/006325779?wid=117&hei=156,,"Josephine Animal Spot Print Midi Dress, Neutral",¡ê275.00
1677004905-463,,https://johnlewis.scene7.com/is/image/JohnLewis/006433088?wid=117&hei=156,,"Lucrece Floral Silk Dupion Shirt, Multi",¡ê65.00
1677004905-464,,https://johnlewis.scene7.com/is/image/JohnLewis/006305133alt10?wid=117&hei=156,,"Floral Chiffon Midi Dress, Yellow/Multi",¡ê280.00
1677004905-465,,https://johnlewis.scene7.com/is/image/JohnLewis/006397753?wid=117&hei=156,,"Leyton Cotton Cropped Trousers, Olive Green",¡ê89.00
1677004905-466,,https://johnlewis.scene7.com/is/image/JohnLewis/006343844alt10?wid=117&hei=156,,"Geo Print Midi Dress, Multi",¡ê190.00
1677004905-467,,https://johnlewis.scene7.com/is/image/JohnLewis/006428737?wid=117&hei=156,,"Turin Cygni Sweatshirt, Black",¡ê59.99
1677004905-468,,https://johnlewis.scene7.com/is/image/JohnLewis/006397758?wid=117&hei=156,,"Maxine Stripe Cotton Poplin Shirt, Brown/Multi",¡ê34.00
1677004905-469,,https://johnlewis.scene7.com/is/image/JohnLewis/006378224?wid=117&hei=156,,Linen Tapered Leg Trousers,¡ê14.00
1677004905-470,,https://johnlewis.scene7.com/is/image/JohnLewis/006378223?wid=117&hei=156,,Linen Trousers,¡ê9.99
1677004905-471,,https://johnlewis.scene7.com/is/image/JohnLewis/006426636?wid=117&hei=156,,Onion Quilted Jacket,¡ê69.95
1677004905-472,,https://johnlewis.scene7.com/is/image/JohnLewis/006332939?wid=117&hei=156,,Utility Chinos,¡ê305.00
1677004905-473,,https://johnlewis.scene7.com/is/image/JohnLewis/006342369?wid=117&hei=156,,"Pointelle Sleeve Cardigan, Ivory",¡ê59.99
1677004905-474,,https://johnlewis.scene7.com/is/image/JohnLewis/006357760?wid=117&hei=156,,Plain Tie Shoulder Stripe T-Shirt,¡ê210.00
1677004905-475,,https://johnlewis.scene7.com/is/image/JohnLewis/006421607?wid=117&hei=156,,"Skinny Capri Trousers, Black",¡ê45.00
1677004905-476,,https://johnlewis.scene7.com/is/image/JohnLewis/006406422?wid=117&hei=156,,Mangofi Cotton T-Shirt,¡ê85.00
1677004905-477,,https://johnlewis.scene7.com/is/image/JohnLewis/006393696?wid=117&hei=156,,Logo Cotton T-Shirt,¡ê120.00
1677004907-478,,https://johnlewis.scene7.com/is/image/JohnLewis/006429680?wid=117&hei=156,,"Davila Regular Fit Long Sleeve Shirt, Pink",¡ê55.00
1677004907-479,,https://johnlewis.scene7.com/is/image/JohnLewis/006429118?wid=117&hei=156,,"Fleur Satin Dress, Aubergine",¡ê265.00
1677004907-480,,https://johnlewis.scene7.com/is/image/JohnLewis/006429055?wid=117&hei=156,,"Paros Faux Leather Midi Skirt, Black",¡ê229.00
